Species,id,Super_class,Order,Family,Genus,IUCN_Red_List_Category,Common_length,Vertical_Distribution,Vulnerability,LRFI,SHarK,DP,B,GF,all_commercial_level,highly_commercial_only,Fishbase_link
Bathypterois dubius,537,osteichthyen,Aulopiformes,Ipnopidae,Bathypterois,LC,15,Demersal,15.01,1,0,1,0,0,1,0,http://fishbase.org/summary/Bathypterois-dubius.html
Bathypterois grallator,538,osteichthyen,Aulopiformes,Ipnopidae,Bathypterois,LC,30,Demersal,36.8,1,0,1,0,0,1,0,http://fishbase.org/summary/Bathypterois-grallator.html
Bathypterois mediterraneus,57,osteichthyen,Aulopiformes,Ipnopidae,Bathypterois,LC,13,Demersal,52.1,1,0,1,0,0,1,0,https://www.fishbase.de/summary/Bathypterois-mediterraneus.html
Bathysolea profundicola,617,osteichthyen,Pleuronectiformes,Soleidae,Bathysolea,LC,10,Benthic,24,1,0,0,1,2,1,0,http://fishbase.org/summary/Bathysolea-profundicola.html
Bathytoshia lata,268,chondrichtyen,Rajiformes,Dasyatidae,Bathytoshia,VU,125,Benthic,80.94,1,1,0,1,13,1,0,http://fishbase.org/summary/Dasyatis-centroura.html
Bellottia apoda,599,osteichthyen,Ophidiiformes,Bythitidae,Bellottia,LC,NA,Demersal,12.47,0,0,1,0,0,1,0,http://fishbase.org/summary/Bellottia-apoda.html
Belone belone,231,osteichthyen,Beloniformes,Belonidae,Belone,LC,75,Pelagic,48.83,1,0,1,0,7,1,0,http://fishbase.org/summary/Belone-belone.html
Belone svetovidovi,232,osteichthyen,Beloniformes,Belonidae,Belone,NA,NA,Pelagic,30.12,1,0,1,0,7,1,0,http://fishbase.org/summary/Belone-svetovidovi.html
Benthocometes robustus,602,osteichthyen,Ophidiiformes,Ophidiidae,Benthocometes,LC,NA,Benthic,16.13,0,0,0,1,2,1,0,http://fishbase.org/summary/Benthocometes-robustus.html
Benthosema glaciale,539,osteichthyen,Myctophiformes,Myctophidae,Benthosema,LC,6,Pelagic,27.28,0,0,1,0,5,1,0,http://fishbase.org/summary/Benthosema-glaciale.html
Beryx splendens,3,osteichthyen,Beryciformes,Berycidae,Beryx,LC,30,Demersal,56.75,1,0,1,0,1,1,0,http://fishbase.org/summary/Beryx-splendens.html
Blennius ocellaris,233,osteichthyen,Perciformes,Blenniidae,Blennius,LC,16.5,Benthic,29.65,0,0,0,1,2,0,0,http://fishbase.org/summary/Blennius-ocellaris.html
Boops boops,234,osteichthyen,Perciformes,Sparidae,Boops,LC,22.5,Demersal,50.54,1,0,1,0,24,1,1,http://fishbase.org/summary/Boops-boops.html
Bothus podas,235,osteichthyen,Pleuronectiformes,Bothidae,Bothus,LC,25.5,Benthic,55.24,1,0,0,1,2,1,0,http://fishbase.org/summary/Bothus-podas.html
Brama brama,589,osteichthyen,Perciformes,Bramidae,Brama,LC,55,Pelagic,70.65,1,0,1,0,3,1,0,http://fishbase.org/summary/Brama-brama.html
Buenia affinis,58,osteichthyen,Perciformes,Gobiidae,Buenia,LC,NA,Benthic,10,0,0,0,1,2,1,0,http://fishbase.org/summary/Buenia-affinis.html
Buenia jeffreysii,236,osteichthyen,Perciformes,Gobiidae,Buenia,LC,5.5,Benthic,11.03,0,0,0,1,2,1,0,http://fishbase.org/summary/Buenia-jeffreysii.html
Buglossidium luteum,237,osteichthyen,Pleuronectiformes,Soleidae,Buglossidium,LC,11.5,Benthic,24.35,0,0,0,1,2,1,0,http://fishbase.org/summary/Buglossidium-luteum.html
Callanthias ruber,238,osteichthyen,Perciformes,Callanthiidae,Callanthias,LC,15,Demersal,34.86,1,0,1,0,14,1,0,http://fishbase.org/summary/Callanthias-ruber.html
Callionymus fasciatus,239,osteichthyen,Perciformes,Callionymidae,Callionymus,LC,10,Benthic,23.58,0,0,0,1,2,1,0,http://fishbase.org/summary/Callionymus-fasciatus.html
Callionymus filamentosus,137,osteichthyen,Perciformes,Callionymidae,Callionymus,NA,7,Demersal,25.85,0,0,1,0,1,1,0,http://fishbase.org/summary/Callionymus-filamentosus.html
Callionymus lyra,597,osteichthyen,Perciformes,Callionymidae,Callionymus,LC,20,Benthic,28.71,1,0,0,1,2,1,0,http://fishbase.org/summary/Callionymus-lyra.html
Callionymus maculatus,598,osteichthyen,Perciformes,Callionymidae,Callionymus,LC,10,Benthic,23.58,0,0,0,1,2,1,0,http://fishbase.org/summary/Callionymus-maculatus.html
Callionymus pusillus,240,osteichthyen,Perciformes,Callionymidae,Callionymus,LC,10,Benthic,21.25,0,0,0,1,2,1,0,http://fishbase.org/summary/Callionymus-pusillus.html
Callionymus reticulatus,241,osteichthyen,Perciformes,Callionymidae,Callionymus,LC,9,Benthic,24.63,0,0,0,1,2,1,0,http://fishbase.org/summary/Callionymus-reticulatus.html
Callionymus risso,242,osteichthyen,Perciformes,Callionymidae,Callionymus,LC,5.5,Benthic,24.47,0,0,0,1,2,1,0,http://fishbase.org/summary/Callionymus-risso.html
Campogramma glaycos,243,osteichthyen,Perciformes,Carangidae,Campogramma,LC,67.5,Pelagic,44.66,1,0,1,0,3,1,0,http://fishbase.org/summary/Campogramma-glaycos.html
Capros aper,244,osteichthyen,Perciformes,Caproidae,Capros,LC,11.5,Demersal,50.6,0,0,1,0,1,1,0,http://fishbase.org/summary/Capros-aper.html
Caranx crysos,245,osteichthyen,Perciformes,Carangidae,Caranx,LC,45,Pelagic,34.26,1,0,1,0,5,1,0,http://fishbase.org/summary/Caranx-crysos.html
Caranx hippos,246,osteichthyen,Perciformes,Carangidae,Caranx,LC,60,Pelagic,41.43,1,0,1,0,7,1,0,http://fishbase.org/summary/Caranx-hippos.html
Caranx rhonchus,247,osteichthyen,Perciformes,Carangidae,Caranx,LC,52.5,Pelagic,36.21,1,0,1,0,7,1,0,http://fishbase.org/summary/Caranx-rhonchus.html
Carapus acus,603,osteichthyen,Ophidiiformes,Carapidae,Carapus,LC,17.5,Benthic,10.53,0,0,0,1,2,1,0,http://fishbase.org/summary/Carapus-acus.html
Carcharhinus altimus,4,chondrichtyen,Carcharhiniformes,Carcharhinidae,Carcharhinus,NT,275,Pelagic,76.49,1,1,1,0,12,1,0,http://fishbase.org/summary/Carcharhinus-altimus.html
Carcharhinus brachyurus,5,chondrichtyen,Carcharhiniformes,Carcharhinidae,Carcharhinus,VU,250,Pelagic,86.7,1,1,1,0,12,1,0,http://fishbase.org/summary/Carcharhinus-brachyurus.html
Carcharhinus brevipinna,508,chondrichtyen,Carcharhiniformes,Carcharhinidae,Carcharhinus,VU,200,Pelagic,62.25,1,1,1,0,25,1,0,http://fishbase.org/summary/Carcharhinus-brevipinna.html
Carcharhinus falciformis,6,chondrichtyen,Carcharhiniformes,Carcharhinidae,Carcharhinus,VU,300,Pelagic,79.03,1,1,1,0,12,1,0,http://fishbase.org/summary/Carcharhinus-falciformis.html
Carcharhinus limbatus,248,chondrichtyen,Carcharhiniformes,Carcharhinidae,Carcharhinus,VU,320,Pelagic,55.45,1,1,1,0,0,1,0,http://fishbase.org/summary/Carcharhinus-limbatus.html
Carcharhinus melanopterus,249,chondrichtyen,Carcharhiniformes,Carcharhinidae,Carcharhinus,VU,165,Pelagic,67.08,1,1,1,0,0,1,0,http://fishbase.org/summary/Carcharhinus-melanopterus.html
Carcharhinus obscurus,250,chondrichtyen,Carcharhiniformes,Carcharhinidae,Carcharhinus,EN,350,Pelagic,87.58,1,1,1,0,12,1,0,http://fishbase.org/summary/Carcharhinus-obscurus.html
Carcharhinus plumbeus,251,chondrichtyen,Carcharhiniformes,Carcharhinidae,Carcharhinus,EN,250,Demersal,87.51,1,1,1,0,0,1,0,http://fishbase.org/summary/Carcharhinus-plumbeus.html
Carcharias taurus,502,chondrichtyen,Lamniformes,Odontaspididae,Carcharias,CR,300,Demersal,58.1,1,1,1,0,0,1,0,http://fishbase.org/summary/Carcharias-taurus.html
Carcharodon carcharias,504,chondrichtyen,Lamniformes,Lamnidae,Carcharodon,VU,640,Pelagic,85.78,1,1,1,0,0,1,0,http://fishbase.org/summary/Carcharodon-carcharias.html
Carlarius parkii,2,osteichthyen,Siluriformes,Ariidae,Carlarius,LC,67.5,Demersal,51.21,1,0,1,0,1,1,0,http://fishbase.org/summary/Arius-parkii.html
Cataetyx alleni,600,osteichthyen,Ophidiiformes,Bythitidae,Cataetyx,LC,4,Demersal,14.44,0,0,1,0,1,1,0,http://fishbase.org/summary/Cataetyx-alleni.html
Cataetyx laticeps,601,osteichthyen,Ophidiiformes,Bythitidae,Cataetyx,LC,60,Demersal,55.85,1,0,1,0,1,1,0,http://fishbase.org/summary/Cataetyx-laticeps.html
Centracanthus cirrus,252,osteichthyen,Perciformes,Centracanthidae,Centracanthus,LC,15,Pelagic,38.12,1,0,1,0,27,1,0,http://fishbase.org/summary/Centracanthus-cirrus.html
Centrolabrus exoletus,7,osteichthyen,Perciformes,Labridae,Centrolabrus,LC,12,Demersal,20,0,0,1,0,1,1,0,http://fishbase.org/summary/Centrolabrus-exoletus.html
Centrolabrus melanocercus,123,osteichthyen,Perciformes,Labridae,Centrolabrus,NA,10,Demersal,23.67,0,0,1,0,8,0,0,http://fishbase.org/summary/Symphodus-melanocercus.html
Centrolophus niger,605,osteichthyen,Perciformes,Centrolophidae,Centrolophus,LC,120,Pelagic,84.78,1,0,1,0,3,1,0,http://fishbase.org/summary/Centrolophus-niger.html
Centrophorus granulosus,511,chondrichtyen,Squaliformes,Centrophoridae,Centrophorus,EN,100,Demersal,70,1,1,1,0,1,1,0,http://fishbase.org/summary/Centrophorus-granulosus.html
Centrophorus uyato,512,chondrichtyen,Squaliformes,Centrophoridae,Centrophorus,EN,90,Demersal,71.04,1,1,1,0,1,1,0,http://fishbase.org/summary/Squalus-uyato.html
Centroscymnus coelolepis,513,chondrichtyen,Squaliformes,Squalidae,Centroscymnus,NT,92,Demersal,75.39,1,1,1,0,1,1,0,http://fishbase.org/summary/Centroscymnus-coelolepis.html
Cephalopholis taeniops,622,osteichthyen,Perciformes,Serranidae,Cephalopholis,LC,40,Demersal,58.62,1,0,1,0,8,1,0,http://fishbase.org/summary/Cephalopholis-taeniops.html
Cepola macrophthalma,586,osteichthyen,Perciformes,Cepolidae,Cepola,LC,45,Benthic,49.94,1,0,0,1,2,1,0,http://fishbase.org/summary/Cepola-macrophthalma.html
Ceratoscopelus maderensis,540,osteichthyen,Myctophiformes,Myctophidae,Ceratoscopelus,LC,5,Pelagic,10,0,0,1,0,3,1,0,http://fishbase.org/summary/Ceratoscopelus-maderensis.html
Cetorhinus maximus,505,chondrichtyen,Lamniformes,Cetorhinidae,Cetorhinus,EN,280,Demersal,86.06,1,1,1,0,0,1,0,http://fishbase.org/summary/Cetorhinus-maximus.html
Chaetodon hoefleri,253,osteichthyen,Perciformes,Chaetodontidae,Chaetodon,LC,17.5,Demersal,21.88,1,0,1,0,1,1,0,http://fishbase.org/summary/Chaetodon-hoefleri.html
Chauliodus sloani,529,osteichthyen,Stomiiformes,Chauliodontidae,Chauliodus,LC,22,Pelagic,43.92,1,0,1,0,3,1,0,http://fishbase.org/summary/Chauliodus-sloani.html
Chaunax pictus,8,osteichthyen,Lophiiformes,Chaunacidae,Chaunax,LC,29,Demersal,32.11,1,0,1,0,1,1,0,http://fishbase.org/summary/Chaunax-pictus.html
Cheilopogon furcatus,9,osteichthyen,Beloniformes,Exocoetidae,Cheilopogon,LC,25,Pelagic,19.23,1,0,1,0,3,1,0,http://fishbase.org/summary/Cheilopogon-furcatus.html
Cheilopogon heterurus,565,osteichthyen,Beloniformes,Exocoetidae,Cheilopogon,LC,32.5,Pelagic,20.98,1,0,1,0,7,0,0,http://fishbase.org/summary/Cheilopogon-heterurus.html
Chelidonichthys cuculus,224,osteichthyen,Scorpaeniformes,Triglidae,Chelidonichthys,LC,37.5,Benthic,46.18,1,0,0,1,2,1,0,http://fishbase.org/summary/Chelidonichthys-cuculus.html
Chelidonichthys lastoviza,489,osteichthyen,Scorpaeniformes,Triglidae,Chelidonichthys,LC,27.5,Benthic,31.86,1,0,0,1,2,1,0,http://fishbase.org/summary/Trigloporus-lastoviza.html
Chelidonichthys lucerna,487,osteichthyen,Scorpaeniformes,Triglidae,Chelidonichthys,LC,55,Benthic,39.5,1,0,0,1,2,1,0,http://fishbase.org/summary/Chelidonichthys-lucerna.html
Chelidonichthys obscurus,225,osteichthyen,Scorpaeniformes,Triglidae,Chelidonichthys,LC,32.5,Benthic,51.83,1,0,0,1,2,1,0,http://fishbase.org/summary/Chelidonichthys-obscurus.html
Chelon auratus,339,osteichthyen,Perciformes,Mugilidae,Chelon,LC,35,Pelagic,35.12,1,0,1,0,0,1,0,http://fishbase.org/summary/Liza-aurata.html
Chelon labrosus,254,osteichthyen,Perciformes,Mugilidae,Chelon,LC,50,Pelagic,63.47,1,0,1,0,15,1,0,http://fishbase.org/summary/Chelon-labrosus.html
Chelon ramada,340,osteichthyen,Perciformes,Mugilidae,Chelon,LC,50,Pelagic,53.41,1,0,1,0,15,1,0,http://fishbase.org/summary/Liza-ramada.html
Chelon saliens,341,osteichthyen,Perciformes,Mugilidae,Chelon,LC,37.5,Pelagic,45.17,1,0,1,0,15,1,0,http://fishbase.org/summary/Liza-saliens.html
Chimaera monstrosa,255,chondrichtyen,Chimaeriformes,Chimaeridae,Chimaera,VU,80,Demersal,73.86,1,1,1,0,0,1,0,http://fishbase.org/summary/Chimaera-monstrosa.html
Chlopsis bicolor,557,osteichthyen,Anguilliformes,Chlopsidae,Chlopsis,LC,36,Benthic,21.79,1,0,0,1,2,1,0,http://fishbase.org/summary/Chlopsis-bicolor.html
Chlorophthalmus agassizi,256,osteichthyen,Aulopiformes,Chlorophtalmidae,Chlorophthalmus,LC,17.5,Demersal,40.13,0,0,1,0,0,1,0,http://fishbase.org/summary/Chlorophthalmus-agassizi.html
Chromis chromis,257,osteichthyen,Perciformes,Pomacentridae,Chromis,LC,9,Demersal,35.46,0,0,1,0,1,0,0,http://fishbase.org/summary/Chromis-chromis.html
Chromogobius quadrivittatus,59,osteichthyen,Perciformes,Gobiidae,Chromogobius,LC,5.5,Benthic,14.21,0,0,0,1,2,1,0,http://fishbase.org/summary/Chromogobius-quadrivittatus.html
Chromogobius zebratus,60,osteichthyen,Perciformes,Gobiidae,Chromogobius,LC,5,Demersal,12.01,0,0,1,0,1,1,0,http://fishbase.org/summary/Chromogobius-zebratus.html
Citharus linguatula,258,osteichthyen,Pleuronectiformes,Citharidae,Citharus,LC,27.5,Benthic,37.19,1,0,0,1,2,1,0,http://fishbase.org/summary/Citharus-linguatula.html
Clinitrachus argentatus,259,osteichthyen,Perciformes,Clinidae,Clinitrachus,LC,7.5,Benthic,10,0,0,0,1,2,1,0,http://fishbase.org/summary/Clinitrachus-argentatus.html
Conger conger,260,osteichthyen,Anguilliformes,Congridae,Conger,LC,175,Benthic,85.83,1,0,0,1,0,1,0,http://fishbase.org/summary/Conger-conger.html
Corcyrogobius liechtensteini,61,osteichthyen,Perciformes,Gobiidae,Corcyrogobius,LC,2.7,Benthic,10,0,0,0,1,4,0,0,http://fishbase.org/summary/Corcyrogobius-liechtensteini.html
Coris julis,261,osteichthyen,Perciformes,Labridae,Coris,LC,22.5,Benthic,38.53,1,0,0,1,6,0,0,http://fishbase.org/summary/Coris-julis.html
Coryogalops ocheticus,158,osteichthyen,Perciformes,Gobiidae,Coryogalops,EN,5,Demersal,11.53,0,0,1,0,1,1,0,http://fishbase.org/summary/Coryogalops-ocheticus.html
Coryphaena equiselis,262,osteichthyen,Perciformes,Coryphaenidae,Coryphaena,LC,50,Pelagic,38.57,1,0,1,0,3,1,0,http://fishbase.org/summary/Coryphaena-equiselis.html
Coryphaena hippurus,263,osteichthyen,Perciformes,Coryphaenidae,Coryphaena,LC,100,Pelagic,39.24,1,0,1,0,3,1,0,http://fishbase.org/summary/Coryphaena-hippurus.html
Coryphaenoides guentheri,570,osteichthyen,Gadiformes,Macrouridae,Coryphaenoides,LC,NA,Demersal,54.26,1,0,1,0,1,1,0,http://fishbase.org/summary/Coryphaenoides-guentheri.html
Coryphoblennius galerita,264,osteichthyen,Perciformes,Blenniidae,Coryphoblennius,LC,8.5,Benthic,18.07,0,0,0,1,4,1,0,http://fishbase.org/summary/Coryphoblennius-galerita.html
Crenidens crenidens,139,osteichthyen,Perciformes,Sparidae,Crenidens,LC,20,Demersal,34.94,1,0,1,0,0,1,0,http://fishbase.org/summary/Crenidens-crenidens.html
Crystallogobius linearis,265,osteichthyen,Perciformes,Gobiidae,Crystallogobius,LC,4.3,Benthic,13.92,0,0,0,1,0,1,0,http://fishbase.org/summary/Crystallogobius-linearis.html
Ctenolabrus rupestris,266,osteichthyen,Perciformes,Labridae,Ctenolabrus,LC,14,Benthic,32.5,0,0,0,1,6,0,0,http://fishbase.org/summary/Ctenolabrus-rupestris.html
Cubiceps capensis,608,osteichthyen,Perciformes,Nomeidae,Cubiceps,LC,30,Pelagic,48.21,1,0,1,0,3,1,0,http://fishbase.org/summary/Cubiceps-capensis.html
Cyclichthys spilostylus,138,osteichthyen,Tetraodontiformes,Diodontidae,Cyclichthys,NA,28,Demersal,18.08,1,0,1,0,1,1,0,http://fishbase.org/summary/Cyclichthys-spilostylus.html
Cyclopterus lumpus,623,osteichthyen,Scorpaeniformes,Cyclopteridae,Cyclopterus,NA,25,Demersal,46.79,1,0,1,0,28,1,0,http://fishbase.org/summary/Cyclopterus-lumpus.html
Cyclothone braueri,521,osteichthyen,Stomiiformes,Gonostomatidae,Cyclothone,LC,2,Pelagic,24.39,0,0,1,0,5,1,0,http://fishbase.org/summary/Cyclothone-braueri.html
Cyclothone pygmaea,62,osteichthyen,Stomiiformes,Gonostomatidae,Cyclothone,LC,2,Pelagic,10,0,0,1,0,0,1,0,http://fishbase.org/summary/Cyclothone-pygmaea.html
Cynoglossus sinusarabici,140,osteichthyen,Pleuronectiformes,Cynoglossidae,Cynoglossus,LC,12,Benthic,17.07,0,0,0,1,2,1,0,http://fishbase.org/summary/Cynoglossus-sinusarabici.html
Cynoponticus ferox,558,osteichthyen,Anguilliformes,Muraenesocidae,Cynoponticus,LC,55,Benthic,76.55,1,0,0,1,2,1,0,http://fishbase.org/summary/Cynoponticus-ferox.html
Dactylopterus volitans,267,osteichthyen,Scorpaeniformes,Dactylopteridae,Dactylopterus,LC,37.5,Benthic,30.57,1,0,0,1,2,1,0,http://fishbase.org/summary/Dactylopterus-volitans.html
